@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 {0,1,2,3,4,5,6,7,8,9,10}
@attribute outputs-14 {0,1,2,3,4,5,6,7,8,9,10}

@data
100,'2020/04/15 17:22:40:389',2,0.829737,0.806563,1.292972,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
101,'2020/04/15 17:22:40:418',2,0.829737,0.806563,1.292972,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
102,'2020/04/15 17:22:40:452',2,0.829737,0.803438,1.292972,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
103,'2020/04/15 17:22:40:501',2,0.829737,0.803438,1.292972,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
104,'2020/04/15 17:22:40:534',2,0.829737,0.803438,1.292972,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
105,'2020/04/15 17:22:40:568',2,0.829737,0.801173,1.292972,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
106,'2020/04/15 17:22:40:596',2,0.829737,0.801173,358.040833,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
107,'2020/04/15 17:22:40:628',2,0.829737,0.801173,0.593729,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
108,'2020/04/15 17:22:40:661',2,0.829737,0.801173,358.04068,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
109,'2020/04/15 17:22:40:693',2,0.829737,0.801173,358.04068,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
110,'2020/04/15 17:22:40:727',2,0.829737,0.801173,0.202127,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
111,'2020/04/15 17:22:40:757',2,0.829737,0.801173,0.202127,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
112,'2020/04/15 17:22:40:786',2,0.829737,0.801173,357.542633,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
113,'2020/04/15 17:22:40:820',2,0.829737,0.801173,0.200351,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
114,'2020/04/15 17:22:40:854',2,0.829737,0.797735,0.200351,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
115,'2020/04/15 17:22:40:884',2,0.829737,0.795287,0.200351,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
116,'2020/04/15 17:22:40:917',2,0.826104,0.795287,0.200351,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
117,'2020/04/15 17:22:40:951',2,0.821416,0.79112,0.200351,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
